industry,plan_tier,quarter,feature_name,total_usage,feature_rank
Cybersecurity,Enterprise,2024-01-01,feature_2,110.0,1
Cybersecurity,Enterprise,2024-01-01,feature_25,101.0,2
Cybersecurity,Enterprise,2024-01-01,feature_39,93.0,3
Cybersecurity,Enterprise,2024-04-01,feature_2,147.0,1
Cybersecurity,Enterprise,2024-04-01,feature_30,107.0,2
Cybersecurity,Enterprise,2024-04-01,feature_10,96.0,3
Cybersecurity,Enterprise,2024-07-01,feature_33,117.0,1
Cybersecurity,Enterprise,2024-07-01,feature_25,114.0,2
Cybersecurity,Enterprise,2024-07-01,feature_32,95.0,3
Cybersecurity,Enterprise,2024-07-01,feature_36,95.0,3
Cybersecurity,Enterprise,2024-10-01,feature_22,116.0,1
Cybersecurity,Enterprise,2024-10-01,feature_25,110.0,2
Cybersecurity,Enterprise,2024-10-01,feature_23,104.0,3
Cybersecurity,Pro,2023-01-01,feature_22,127.0,1
Cybersecurity,Pro,2023-01-01,feature_19,99.0,2
Cybersecurity,Pro,2023-01-01,feature_36,90.0,3
Cybersecurity,Pro,2023-04-01,feature_9,106.0,1
Cybersecurity,Pro,2023-04-01,feature_1,104.0,2
Cybersecurity,Pro,2023-04-01,feature_11,96.0,3
Cybersecurity,Pro,2023-07-01,feature_40,132.0,1
Cybersecurity,Pro,2023-07-01,feature_36,119.0,2
Cybersecurity,Pro,2023-07-01,feature_32,114.0,3
Cybersecurity,Pro,2023-10-01,feature_16,122.0,1
Cybersecurity,Pro,2023-10-01,feature_2,119.0,2
Cybersecurity,Pro,2023-10-01,feature_4,101.0,3
Cybersecurity,Pro,2024-01-01,feature_3,116.0,1
Cybersecurity,Pro,2024-01-01,feature_6,99.0,2
Cybersecurity,Pro,2024-01-01,feature_27,98.0,3
Cybersecurity,Pro,2024-04-01,feature_37,94.0,1
Cybersecurity,Pro,2024-04-01,feature_3,85.0,2
Cybersecurity,Pro,2024-04-01,feature_33,84.0,3
Cybersecurity,Pro,2024-07-01,feature_7,122.0,1
Cybersecurity,Pro,2024-07-01,feature_32,106.0,2
Cybersecurity,Pro,2024-07-01,feature_38,103.0,3
Cybersecurity,Pro,2024-10-01,feature_38,114.0,1
Cybersecurity,Pro,2024-10-01,feature_22,105.0,2
Cybersecurity,Pro,2024-10-01,feature_28,102.0,3
DevTools,Basic,2023-01-01,feature_17,118.0,1
DevTools,Basic,2023-01-01,feature_4,107.0,2
DevTools,Basic,2023-01-01,feature_14,101.0,3
DevTools,Basic,2023-04-01,feature_16,118.0,1
DevTools,Basic,2023-04-01,feature_19,113.0,2
DevTools,Basic,2023-04-01,feature_26,113.0,2
DevTools,Basic,2023-07-01,feature_1,97.0,1
DevTools,Basic,2023-07-01,feature_26,94.0,2
DevTools,Basic,2023-07-01,feature_28,86.0,3
DevTools,Basic,2023-10-01,feature_31,130.0,1
DevTools,Basic,2023-10-01,feature_34,112.0,2
DevTools,Basic,2023-10-01,feature_14,112.0,2
DevTools,Basic,2024-01-01,feature_34,120.0,1
DevTools,Basic,2024-01-01,feature_39,119.0,2
DevTools,Basic,2024-01-01,feature_11,105.0,3
DevTools,Basic,2024-04-01,feature_36,141.0,1
DevTools,Basic,2024-04-01,feature_31,140.0,2
DevTools,Basic,2024-04-01,feature_13,131.0,3
DevTools,Basic,2024-07-01,feature_11,108.0,1
DevTools,Basic,2024-07-01,feature_40,96.0,2
DevTools,Basic,2024-07-01,feature_32,91.0,3
DevTools,Basic,2024-10-01,feature_29,125.0,1
DevTools,Basic,2024-10-01,feature_1,104.0,2
DevTools,Basic,2024-10-01,feature_35,94.0,3
DevTools,Enterprise,2023-01-01,feature_29,130.0,1
DevTools,Enterprise,2023-01-01,feature_7,92.0,2
DevTools,Enterprise,2023-01-01,feature_9,90.0,3
DevTools,Enterprise,2023-04-01,feature_25,111.0,1
DevTools,Enterprise,2023-04-01,feature_36,99.0,2
DevTools,Enterprise,2023-04-01,feature_34,96.0,3
DevTools,Enterprise,2023-07-01,feature_2,119.0,1
DevTools,Enterprise,2023-07-01,feature_6,114.0,2
DevTools,Enterprise,2023-07-01,feature_5,98.0,3
DevTools,Enterprise,2023-07-01,feature_11,98.0,3
DevTools,Enterprise,2023-10-01,feature_39,125.0,1
DevTools,Enterprise,2023-10-01,feature_11,116.0,2
DevTools,Enterprise,2023-10-01,feature_3,116.0,2
DevTools,Enterprise,2024-01-01,feature_31,117.0,1
DevTools,Enterprise,2024-01-01,feature_18,115.0,2
DevTools,Enterprise,2024-01-01,feature_34,110.0,3
DevTools,Enterprise,2024-04-01,feature_31,115.0,1
DevTools,Enterprise,2024-04-01,feature_39,108.0,2
DevTools,Enterprise,2024-04-01,feature_15,105.0,3
DevTools,Enterprise,2024-07-01,feature_12,102.0,1
DevTools,Enterprise,2024-07-01,feature_40,101.0,2
DevTools,Enterprise,2024-07-01,feature_4,87.0,3
DevTools,Enterprise,2024-10-01,feature_26,107.0,1
DevTools,Enterprise,2024-10-01,feature_13,105.0,2
DevTools,Enterprise,2024-10-01,feature_20,100.0,3
DevTools,Pro,2023-01-01,feature_17,137.0,1
DevTools,Pro,2023-01-01,feature_18,110.0,2
DevTools,Pro,2023-01-01,feature_21,100.0,3
DevTools,Pro,2023-04-01,feature_4,98.0,1
DevTools,Pro,2023-04-01,feature_13,97.0,2
DevTools,Pro,2023-04-01,feature_11,94.0,3
DevTools,Pro,2023-07-01,feature_33,219.0,1
DevTools,Pro,2023-07-01,feature_9,142.0,2
DevTools,Pro,2023-07-01,feature_17,128.0,3
DevTools,Pro,2023-10-01,feature_37,123.0,1
DevTools,Pro,2023-10-01,feature_18,109.0,2
DevTools,Pro,2023-10-01,feature_40,107.0,3
DevTools,Pro,2024-01-01,feature_37,116.0,1
DevTools,Pro,2024-01-01,feature_17,114.0,2
DevTools,Pro,2024-01-01,feature_11,113.0,3
DevTools,Pro,2024-04-01,feature_9,100.0,1
DevTools,Pro,2024-04-01,feature_14,97.0,2
DevTools,Pro,2024-04-01,feature_11,91.0,3
DevTools,Pro,2024-07-01,feature_34,147.0,1
DevTools,Pro,2024-07-01,feature_10,114.0,2
DevTools,Pro,2024-07-01,feature_36,112.0,3
DevTools,Pro,2024-10-01,feature_35,114.0,1
DevTools,Pro,2024-10-01,feature_33,112.0,2
DevTools,Pro,2024-10-01,feature_22,105.0,3
EdTech,Basic,2023-01-01,feature_33,95.0,1
EdTech,Basic,2023-01-01,feature_21,95.0,1
EdTech,Basic,2023-01-01,feature_13,74.0,3
EdTech,Basic,2023-04-01,feature_8,78.0,1
EdTech,Basic,2023-04-01,feature_26,69.0,2
EdTech,Basic,2023-04-01,feature_17,65.0,3
EdTech,Basic,2023-07-01,feature_22,86.0,1
EdTech,Basic,2023-07-01,feature_27,75.0,2
EdTech,Basic,2023-07-01,feature_13,73.0,3
EdTech,Basic,2023-07-01,feature_25,73.0,3
EdTech,Basic,2023-10-01,feature_29,98.0,1
EdTech,Basic,2023-10-01,feature_5,72.0,2
EdTech,Basic,2023-10-01,feature_20,68.0,3
EdTech,Basic,2024-01-01,feature_32,101.0,1
EdTech,Basic,2024-01-01,feature_34,94.0,2
EdTech,Basic,2024-01-01,feature_38,70.0,3
EdTech,Basic,2024-04-01,feature_1,96.0,1
EdTech,Basic,2024-04-01,feature_34,78.0,2
EdTech,Basic,2024-04-01,feature_27,68.0,3
EdTech,Basic,2024-07-01,feature_26,91.0,1
EdTech,Basic,2024-07-01,feature_1,78.0,2
EdTech,Basic,2024-07-01,feature_7,75.0,3
EdTech,Basic,2024-10-01,feature_25,86.0,1
EdTech,Basic,2024-10-01,feature_8,78.0,2
EdTech,Basic,2024-10-01,feature_12,69.0,3
EdTech,Basic,2024-10-01,feature_4,69.0,3
EdTech,Enterprise,2023-01-01,feature_10,80.0,1
EdTech,Enterprise,2023-01-01,feature_40,73.0,2
EdTech,Enterprise,2023-01-01,feature_12,70.0,3
EdTech,Enterprise,2023-04-01,feature_20,132.0,1
EdTech,Enterprise,2023-04-01,feature_6,100.0,2
EdTech,Enterprise,2023-04-01,feature_10,97.0,3
EdTech,Enterprise,2023-07-01,feature_34,90.0,1
EdTech,Enterprise,2023-07-01,feature_21,84.0,2
EdTech,Enterprise,2023-07-01,feature_14,60.0,3
EdTech,Enterprise,2023-10-01,feature_6,109.0,1
EdTech,Enterprise,2023-10-01,feature_29,80.0,2
EdTech,Enterprise,2023-10-01,feature_36,79.0,3
EdTech,Enterprise,2024-01-01,feature_32,87.0,1
EdTech,Enterprise,2024-01-01,feature_7,85.0,2
EdTech,Enterprise,2024-01-01,feature_3,80.0,3
EdTech,Enterprise,2024-04-01,feature_32,92.0,1
EdTech,Enterprise,2024-04-01,feature_1,80.0,2
EdTech,Enterprise,2024-04-01,feature_8,79.0,3
EdTech,Enterprise,2024-07-01,feature_6,94.0,1
EdTech,Enterprise,2024-07-01,feature_38,83.0,2
EdTech,Enterprise,2024-07-01,feature_29,83.0,2
EdTech,Enterprise,2024-10-01,feature_3,83.0,1
EdTech,Enterprise,2024-10-01,feature_14,76.0,2
EdTech,Enterprise,2024-10-01,feature_12,74.0,3
EdTech,Pro,2023-01-01,feature_12,102.0,1
EdTech,Pro,2023-01-01,feature_28,77.0,2
EdTech,Pro,2023-01-01,feature_9,71.0,3
EdTech,Pro,2023-04-01,feature_2,83.0,1
EdTech,Pro,2023-04-01,feature_29,79.0,2
EdTech,Pro,2023-04-01,feature_36,75.0,3
EdTech,Pro,2023-07-01,feature_40,87.0,1
EdTech,Pro,2023-07-01,feature_4,86.0,2
EdTech,Pro,2023-07-01,feature_21,83.0,3
EdTech,Pro,2023-10-01,feature_28,85.0,1
EdTech,Pro,2023-10-01,feature_12,81.0,2
EdTech,Pro,2023-10-01,feature_4,78.0,3
EdTech,Pro,2024-01-01,feature_39,89.0,1
EdTech,Pro,2024-01-01,feature_21,88.0,2
EdTech,Pro,2024-01-01,feature_4,80.0,3
EdTech,Pro,2024-04-01,feature_29,91.0,1
EdTech,Pro,2024-04-01,feature_40,78.0,2
EdTech,Pro,2024-04-01,feature_27,73.0,3
EdTech,Pro,2024-04-01,feature_24,73.0,3
EdTech,Pro,2024-07-01,feature_12,103.0,1
EdTech,Pro,2024-07-01,feature_39,77.0,2
EdTech,Pro,2024-07-01,feature_24,75.0,3
EdTech,Pro,2024-10-01,feature_16,90.0,1
EdTech,Pro,2024-10-01,feature_30,80.0,2
EdTech,Pro,2024-10-01,feature_4,76.0,3
FinTech,Basic,2023-01-01,feature_24,116.0,1
FinTech,Basic,2023-01-01,feature_26,101.0,2
FinTech,Basic,2023-01-01,feature_29,94.0,3
FinTech,Basic,2023-01-01,feature_17,94.0,3
FinTech,Basic,2023-01-01,feature_27,94.0,3
FinTech,Basic,2023-04-01,feature_13,127.0,1
FinTech,Basic,2023-04-01,feature_9,96.0,2
FinTech,Basic,2023-04-01,feature_26,90.0,3
FinTech,Basic,2023-07-01,feature_8,96.0,1
FinTech,Basic,2023-07-01,feature_32,77.0,2
FinTech,Basic,2023-07-01,feature_20,76.0,3
FinTech,Basic,2023-10-01,feature_22,97.0,1
FinTech,Basic,2023-10-01,feature_1,89.0,2
FinTech,Basic,2023-10-01,feature_37,89.0,2
FinTech,Basic,2024-01-01,feature_6,119.0,1
FinTech,Basic,2024-01-01,feature_15,105.0,2
FinTech,Basic,2024-01-01,feature_35,94.0,3
FinTech,Basic,2024-04-01,feature_7,130.0,1
FinTech,Basic,2024-04-01,feature_34,88.0,2
FinTech,Basic,2024-04-01,feature_21,87.0,3
FinTech,Basic,2024-07-01,feature_24,110.0,1
FinTech,Basic,2024-07-01,feature_22,108.0,2
FinTech,Basic,2024-07-01,feature_7,98.0,3
FinTech,Basic,2024-10-01,feature_34,109.0,1
FinTech,Basic,2024-10-01,feature_38,105.0,2
FinTech,Basic,2024-10-01,feature_39,104.0,3
FinTech,Enterprise,2023-01-01,feature_31,103.0,1
FinTech,Enterprise,2023-01-01,feature_32,98.0,2
FinTech,Enterprise,2023-01-01,feature_10,92.0,3
FinTech,Enterprise,2023-01-01,feature_21,92.0,3
FinTech,Enterprise,2023-04-01,feature_4,138.0,1
FinTech,Enterprise,2023-04-01,feature_2,128.0,2
FinTech,Enterprise,2023-04-01,feature_15,110.0,3
FinTech,Enterprise,2023-07-01,feature_10,135.0,1
FinTech,Enterprise,2023-07-01,feature_13,123.0,2
FinTech,Enterprise,2023-07-01,feature_17,112.0,3
FinTech,Enterprise,2023-07-01,feature_25,112.0,3
FinTech,Enterprise,2023-10-01,feature_18,113.0,1
FinTech,Enterprise,2023-10-01,feature_39,111.0,2
FinTech,Enterprise,2023-10-01,feature_4,90.0,3
FinTech,Enterprise,2023-10-01,feature_30,90.0,3
FinTech,Enterprise,2024-01-01,feature_10,112.0,1
FinTech,Enterprise,2024-01-01,feature_2,91.0,2
FinTech,Enterprise,2024-01-01,feature_15,90.0,3
FinTech,Enterprise,2024-04-01,feature_31,111.0,1
FinTech,Enterprise,2024-04-01,feature_19,110.0,2
FinTech,Enterprise,2024-04-01,feature_40,86.0,3
FinTech,Enterprise,2024-07-01,feature_30,119.0,1
FinTech,Enterprise,2024-07-01,feature_14,114.0,2
FinTech,Enterprise,2024-07-01,feature_22,102.0,3
FinTech,Enterprise,2024-07-01,feature_31,102.0,3
FinTech,Enterprise,2024-10-01,feature_38,133.0,1
FinTech,Enterprise,2024-10-01,feature_39,122.0,2
FinTech,Enterprise,2024-10-01,feature_32,121.0,3
FinTech,Pro,2023-01-01,feature_12,111.0,1
FinTech,Pro,2023-01-01,feature_35,97.0,2
FinTech,Pro,2023-01-01,feature_36,87.0,3
FinTech,Pro,2023-04-01,feature_30,146.0,1
FinTech,Pro,2023-04-01,feature_28,120.0,2
FinTech,Pro,2023-04-01,feature_24,96.0,3
FinTech,Pro,2023-07-01,feature_21,108.0,1
FinTech,Pro,2023-07-01,feature_30,107.0,2
FinTech,Pro,2023-07-01,feature_2,106.0,3
FinTech,Pro,2023-10-01,feature_8,116.0,1
FinTech,Pro,2023-10-01,feature_4,98.0,2
FinTech,Pro,2023-10-01,feature_3,97.0,3
FinTech,Pro,2024-01-01,feature_5,128.0,1
FinTech,Pro,2024-01-01,feature_1,119.0,2
FinTech,Pro,2024-01-01,feature_18,117.0,3
FinTech,Pro,2024-04-01,feature_28,128.0,1
FinTech,Pro,2024-04-01,feature_20,114.0,2
FinTech,Pro,2024-04-01,feature_6,103.0,3
FinTech,Pro,2024-07-01,feature_6,115.0,1
FinTech,Pro,2024-07-01,feature_11,94.0,2
FinTech,Pro,2024-07-01,feature_24,94.0,2
FinTech,Pro,2024-10-01,feature_16,117.0,1
FinTech,Pro,2024-10-01,feature_17,109.0,2
FinTech,Pro,2024-10-01,feature_14,91.0,3
FinTech,Pro,2024-10-01,feature_20,91.0,3
HealthTech,Basic,2023-01-01,feature_39,97.0,1
HealthTech,Basic,2023-01-01,feature_28,96.0,2
HealthTech,Basic,2023-01-01,feature_9,92.0,3
HealthTech,Basic,2023-04-01,feature_36,90.0,1
HealthTech,Basic,2023-04-01,feature_1,87.0,2
HealthTech,Basic,2023-04-01,feature_27,86.0,3
HealthTech,Basic,2023-07-01,feature_32,112.0,1
HealthTech,Basic,2023-07-01,feature_2,109.0,2
HealthTech,Basic,2023-07-01,feature_18,104.0,3
HealthTech,Basic,2023-10-01,feature_2,89.0,1
HealthTech,Basic,2023-10-01,feature_17,83.0,2
HealthTech,Basic,2023-10-01,feature_15,80.0,3
HealthTech,Basic,2024-01-01,feature_15,98.0,1
HealthTech,Basic,2024-01-01,feature_9,94.0,2
HealthTech,Basic,2024-01-01,feature_8,93.0,3
HealthTech,Basic,2024-04-01,feature_4,125.0,1
HealthTech,Basic,2024-04-01,feature_36,104.0,2
HealthTech,Basic,2024-04-01,feature_29,89.0,3
HealthTech,Basic,2024-07-01,feature_32,103.0,1
HealthTech,Basic,2024-07-01,feature_34,102.0,2
HealthTech,Basic,2024-07-01,feature_25,87.0,3
HealthTech,Basic,2024-07-01,feature_23,87.0,3
HealthTech,Basic,2024-10-01,feature_11,100.0,1
HealthTech,Basic,2024-10-01,feature_2,89.0,2
HealthTech,Basic,2024-10-01,feature_39,86.0,3
HealthTech,Enterprise,2023-01-01,feature_11,97.0,1
HealthTech,Enterprise,2023-01-01,feature_10,94.0,2
HealthTech,Enterprise,2023-01-01,feature_6,90.0,3
HealthTech,Enterprise,2023-04-01,feature_36,91.0,1
HealthTech,Enterprise,2023-04-01,feature_21,83.0,2
HealthTech,Enterprise,2023-04-01,feature_28,77.0,3
HealthTech,Enterprise,2023-07-01,feature_7,111.0,1
HealthTech,Enterprise,2023-07-01,feature_11,81.0,2
HealthTech,Enterprise,2023-07-01,feature_5,75.0,3
HealthTech,Enterprise,2023-10-01,feature_14,126.0,1
HealthTech,Enterprise,2023-10-01,feature_21,103.0,2
HealthTech,Enterprise,2023-10-01,feature_33,94.0,3
HealthTech,Enterprise,2024-01-01,feature_25,95.0,1
HealthTech,Enterprise,2024-01-01,feature_40,76.0,2
HealthTech,Enterprise,2024-01-01,feature_19,75.0,3
HealthTech,Enterprise,2024-04-01,feature_24,122.0,1
HealthTech,Enterprise,2024-04-01,feature_33,98.0,2
HealthTech,Enterprise,2024-04-01,feature_37,95.0,3
HealthTech,Enterprise,2024-07-01,feature_19,108.0,1
HealthTech,Enterprise,2024-07-01,feature_32,104.0,2
HealthTech,Enterprise,2024-07-01,feature_6,102.0,3
HealthTech,Enterprise,2024-10-01,feature_9,121.0,1
HealthTech,Enterprise,2024-10-01,feature_11,89.0,2
HealthTech,Enterprise,2024-10-01,feature_26,86.0,3
HealthTech,Pro,2023-01-01,feature_34,136.0,1
HealthTech,Pro,2023-01-01,feature_3,86.0,2
HealthTech,Pro,2023-01-01,feature_40,84.0,3
HealthTech,Pro,2023-01-01,feature_6,84.0,3
HealthTech,Pro,2023-04-01,feature_40,99.0,1
HealthTech,Pro,2023-04-01,feature_13,95.0,2
HealthTech,Pro,2023-04-01,feature_12,92.0,3
HealthTech,Pro,2023-07-01,feature_30,92.0,1
HealthTech,Pro,2023-07-01,feature_36,73.0,2
HealthTech,Pro,2023-07-01,feature_21,71.0,3
HealthTech,Pro,2023-10-01,feature_34,99.0,1
HealthTech,Pro,2023-10-01,feature_15,97.0,2
HealthTech,Pro,2023-10-01,feature_29,94.0,3
HealthTech,Pro,2024-01-01,feature_16,95.0,1
HealthTech,Pro,2024-01-01,feature_2,89.0,2
HealthTech,Pro,2024-01-01,feature_13,84.0,3
HealthTech,Pro,2024-04-01,feature_5,113.0,1
HealthTech,Pro,2024-04-01,feature_40,83.0,2
HealthTech,Pro,2024-04-01,feature_9,77.0,3
HealthTech,Pro,2024-07-01,feature_36,115.0,1
HealthTech,Pro,2024-07-01,feature_28,79.0,2
HealthTech,Pro,2024-07-01,feature_31,79.0,2
HealthTech,Pro,2024-10-01,feature_13,106.0,1
HealthTech,Pro,2024-10-01,feature_40,95.0,2
HealthTech,Pro,2024-10-01,feature_34,85.0,3
