account_id,industry,plan_tier,churn_flag,monetary,recency_days,frequency,recency_score,frequency_score,monetary_score
A-b179bf,Cybersecurity,Basic,False,0,14,39,3,2,1
A-4d1e75,DevTools,Basic,False,0,16,51,2,3,1
A-2789e3,FinTech,Enterprise,False,0,0,65,5,5,1
A-b07346,HealthTech,Pro,True,0,19,33,2,1,1
A-0be015,FinTech,Pro,False,0,69,28,1,1,1
A-684255,FinTech,Enterprise,False,0,23,66,2,5,1
A-fabe19,DevTools,Enterprise,False,0,6,33,4,1,1
A-cc8c8f,DevTools,Enterprise,False,0,40,28,1,1,1
A-39868b,FinTech,Pro,False,0,17,28,2,1,1
A-e6afc1,DevTools,Pro,False,0,15,71,2,5,1
A-3a5ad8,HealthTech,Enterprise,False,0,16,52,2,3,1
A-7dacce,Cybersecurity,Enterprise,True,0,2,48,5,3,1
A-6dee43,FinTech,Basic,False,0,43,48,1,3,1
A-ae052e,FinTech,Basic,False,0,30,29,1,1,1
A-560d27,DevTools,Pro,False,0,64,59,1,4,1
A-922109,Cybersecurity,Pro,False,0,10,79,3,5,1
A-089363,FinTech,Basic,False,0,26,61,1,4,1
A-66224b,HealthTech,Pro,False,0,27,61,1,4,1
A-659280,FinTech,Enterprise,True,0,7,60,4,4,1
A-1ac5e0,DevTools,Basic,True,0,20,56,2,4,1
A-0354fe,Cybersecurity,Basic,False,0,0,45,5,2,1
A-712426,HealthTech,Enterprise,False,0,4,70,4,5,1
A-7c5768,HealthTech,Enterprise,False,0,29,46,1,2,1
A-f44180,Cybersecurity,Pro,False,0,16,52,2,3,1
A-4e0e85,DevTools,Enterprise,False,0,3,31,5,1,1
A-a45270,HealthTech,Enterprise,False,0,6,71,4,5,1
A-9f2731,FinTech,Enterprise,False,0,12,32,3,1,1
A-eafc6e,DevTools,Pro,True,0,31,32,1,1,1
A-856b1e,FinTech,Basic,False,0,24,23,2,1,1
A-f51f16,HealthTech,Enterprise,False,38,23,37,2,2,1
A-038089,DevTools,Pro,True,95,33,20,1,1,1
A-f446b6,DevTools,Pro,False,95,17,39,2,2,1
A-241e75,EdTech,Enterprise,False,95,18,28,2,1,1
A-0a282f,DevTools,Basic,False,98,9,83,3,5,1
A-6da850,FinTech,Pro,False,114,4,70,4,5,1
A-249769,Cybersecurity,Enterprise,True,133,1,68,5,5,1
A-3c1a3f,DevTools,Pro,False,133,11,51,3,3,1
A-0f7d77,FinTech,Pro,False,133,1,30,5,1,1
A-354f12,FinTech,Pro,False,133,15,15,2,1,1
A-0b0d6d,DevTools,Pro,False,147,5,62,4,4,1
A-ffdfd5,EdTech,Basic,True,147,10,52,3,3,1
A-ced9aa,DevTools,Enterprise,False,147,25,55,1,4,1
A-bc87bc,FinTech,Pro,False,152,10,36,3,2,1
A-69b156,EdTech,Pro,True,152,19,36,2,2,1
A-ef84cf,EdTech,Enterprise,False,152,0,28,5,1,1
A-c42f1f,HealthTech,Pro,False,152,62,35,1,1,1
A-443b7c,Cybersecurity,Enterprise,True,152,4,63,4,4,1
A-92a333,FinTech,Enterprise,False,171,11,36,3,2,1
A-4437e4,Cybersecurity,Enterprise,False,171,21,83,2,5,1
A-13466a,DevTools,Basic,True,171,12,22,3,1,1
A-65aeb5,DevTools,Pro,False,171,20,55,2,4,1
A-9ee962,HealthTech,Basic,True,171,6,39,4,2,1
A-1f559b,HealthTech,Enterprise,True,190,40,40,1,2,1
A-c9bb3e,EdTech,Pro,False,190,60,46,1,3,2
A-7641d3,EdTech,Pro,True,190,7,50,4,3,2
A-d77f4c,DevTools,Pro,False,196,11,62,3,4,2
A-1e6fc3,EdTech,Pro,False,199,88,26,1,1,2
A-ccb686,DevTools,Basic,False,209,3,70,4,5,2
A-22f2df,DevTools,Basic,False,209,22,42,2,2,2
A-0e966d,FinTech,Basic,True,209,17,64,2,4,2
A-781cc0,EdTech,Pro,False,228,1,87,5,5,2
A-4e960a,FinTech,Enterprise,True,228,3,49,5,3,2
A-b30291,HealthTech,Basic,True,245,14,48,3,3,2
A-e7beab,EdTech,Enterprise,False,245,79,36,1,2,2
A-de24d5,DevTools,Enterprise,False,245,39,53,1,3,2
A-82d8a6,Cybersecurity,Basic,False,245,14,70,2,5,2
A-6965e1,DevTools,Basic,False,247,3,59,5,4,2
A-cc102e,HealthTech,Enterprise,False,247,3,43,4,2,2
A-6e08f3,Cybersecurity,Basic,False,247,3,50,5,3,2
A-ffc04f,EdTech,Pro,False,247,22,86,2,5,2
A-a6d261,FinTech,Pro,False,247,1,63,5,4,2
A-39b19f,FinTech,Enterprise,False,247,78,55,1,4,2
A-dfbd31,DevTools,Enterprise,False,266,17,54,2,3,2
A-17939a,HealthTech,Basic,False,266,27,47,1,3,2
A-fda07f,Cybersecurity,Basic,False,266,0,65,5,5,2
A-8145a0,Cybersecurity,Basic,False,285,5,64,4,4,2
A-e1462e,FinTech,Basic,False,285,51,35,1,1,2
A-309e54,DevTools,Pro,False,285,14,52,3,3,2
A-8ed5dd,EdTech,Enterprise,True,285,12,55,3,4,2
A-296d7c,DevTools,Enterprise,False,294,35,33,1,1,2
A-5f2961,HealthTech,Basic,False,304,57,36,1,2,2
A-ccc747,HealthTech,Pro,True,304,23,30,2,1,2
A-427b69,FinTech,Basic,False,323,4,70,4,5,2
A-a8d89d,EdTech,Pro,False,323,21,54,2,3,2
A-86cdb4,DevTools,Basic,False,323,23,49,2,3,2
A-4c56c9,FinTech,Enterprise,True,342,23,64,2,4,2
A-59f724,HealthTech,Enterprise,False,342,24,68,2,5,2
A-b9eed8,Cybersecurity,Basic,False,342,1,61,5,4,2
A-a7bd4b,Cybersecurity,Enterprise,False,342,3,55,4,4,2
A-0f3e88,HealthTech,Basic,True,343,2,59,5,4,2
A-c16101,EdTech,Basic,False,343,11,55,3,4,2
A-a8b49c,Cybersecurity,Basic,False,343,6,54,4,3,2
A-f92792,FinTech,Pro,False,361,4,53,4,3,2
A-dbc825,EdTech,Enterprise,False,361,1,72,5,5,2
A-443f6f,Cybersecurity,Basic,False,361,5,56,4,4,2
A-2f6a32,HealthTech,Basic,False,361,4,66,4,5,2
A-cbd1a3,DevTools,Basic,True,380,10,45,3,2,2
A-8ae3fc,DevTools,Pro,False,380,7,39,4,2,2
A-3be56b,HealthTech,Pro,True,380,2,55,5,4,2
A-42b791,FinTech,Pro,False,380,11,32,3,1,2
A-054577,EdTech,Basic,False,392,0,85,5,5,2
A-2b9d3e,EdTech,Enterprise,False,398,14,45,3,2,2
A-544d0a,DevTools,Basic,False,398,13,47,3,3,2
A-fce879,EdTech,Pro,True,399,31,27,1,1,2
A-e40f45,HealthTech,Pro,False,399,2,45,5,2,2
A-ff3c73,HealthTech,Pro,False,399,3,40,5,2,2
A-dcc3f1,HealthTech,Pro,False,399,7,48,4,3,2
A-4e631b,FinTech,Enterprise,False,418,12,49,3,3,2
A-bbe56f,HealthTech,Enterprise,False,418,29,22,1,1,2
A-c37cab,Cybersecurity,Pro,False,437,1,70,5,5,2
A-f6b2fb,DevTools,Basic,False,437,7,55,4,4,2
A-bb3bd4,HealthTech,Basic,False,437,19,30,2,1,2
A-310452,DevTools,Enterprise,False,441,36,25,1,1,2
A-f45426,HealthTech,Basic,False,441,5,61,4,4,2
A-4c6f11,FinTech,Pro,True,456,8,24,4,1,2
A-4f18f0,DevTools,Pro,False,456,9,57,3,4,2
A-eb1312,FinTech,Pro,False,475,13,65,3,5,2
A-0a62f5,FinTech,Pro,False,475,41,25,1,1,2
A-139c3b,HealthTech,Enterprise,True,490,2,44,5,2,2
A-42e5e1,DevTools,Pro,True,490,5,41,4,2,2
A-96215d,FinTech,Enterprise,False,490,25,32,1,1,2
A-d82ef9,EdTech,Basic,True,494,2,68,5,5,2
A-eb7fac,DevTools,Enterprise,False,494,12,53,3,3,2
A-c1dfe1,DevTools,Pro,False,494,8,39,4,2,2
A-54d94a,Cybersecurity,Basic,False,513,1,59,5,4,2
A-7c4956,DevTools,Enterprise,True,513,5,45,4,2,2
A-40de06,Cybersecurity,Enterprise,True,532,14,91,3,5,2
A-4ae22a,EdTech,Pro,True,532,3,35,5,1,2
A-ac14bb,FinTech,Enterprise,False,532,13,54,3,3,2
A-78f02b,HealthTech,Enterprise,False,539,32,20,1,1,2
A-f19b24,Cybersecurity,Pro,False,551,58,12,1,1,2
A-fd7ad3,Cybersecurity,Enterprise,False,551,36,56,1,4,2
A-a33200,HealthTech,Basic,False,551,20,55,2,3,2
A-1619f8,DevTools,Pro,False,551,24,42,2,2,2
A-b7724f,HealthTech,Basic,False,551,23,38,2,2,2
A-b54c01,DevTools,Enterprise,False,551,87,23,1,1,2
A-f3ff05,FinTech,Enterprise,False,570,0,66,5,5,2
A-ee42db,EdTech,Enterprise,False,570,5,54,4,3,2
A-df1e44,Cybersecurity,Enterprise,False,588,22,42,2,2,2
A-b7ef83,Cybersecurity,Pro,False,588,6,72,4,5,2
A-eb2fdc,DevTools,Enterprise,True,589,32,54,1,3,2
A-dcc2f0,FinTech,Basic,False,608,5,76,4,5,2
A-acb7f7,EdTech,Basic,False,608,2,62,5,4,2
A-e351e1,EdTech,Enterprise,False,627,17,29,2,1,2
A-eb7c38,DevTools,Enterprise,False,627,16,70,2,5,2
A-5790f4,FinTech,Pro,False,627,22,35,2,1,2
A-149a69,DevTools,Basic,False,646,136,18,1,1,2
A-029f69,Cybersecurity,Basic,False,646,0,84,5,5,2
A-104f1a,Cybersecurity,Pro,False,646,16,44,2,2,2
A-c16cf7,EdTech,Pro,False,665,3,58,5,4,2
A-f19409,DevTools,Basic,True,665,4,62,4,4,2
A-bc4d48,EdTech,Pro,False,665,8,32,4,1,2
A-5a184f,DevTools,Enterprise,True,684,21,57,2,4,2
A-6a4e2d,EdTech,Pro,False,686,7,59,4,4,3
A-a09355,FinTech,Basic,False,686,0,78,5,5,3
A-c62e55,EdTech,Basic,False,686,19,32,2,1,3
A-977ca0,HealthTech,Basic,True,686,7,85,4,5,3
A-157070,FinTech,Pro,False,722,3,71,5,5,3
A-c43359,FinTech,Pro,False,722,2,47,5,3,3
A-e60f9d,FinTech,Basic,False,722,63,62,1,4,3
A-558c72,FinTech,Basic,False,735,17,30,2,1,3
A-71615e,EdTech,Basic,False,735,9,62,3,4,3
A-f17767,DevTools,Enterprise,True,735,6,69,4,5,3
A-463db0,HealthTech,Basic,False,735,4,37,4,2,3
A-96bbc6,Cybersecurity,Enterprise,False,741,5,49,4,3,3
A-c1e51e,FinTech,Basic,False,779,6,50,4,3,3
A-7f29a7,Cybersecurity,Basic,False,779,17,62,2,4,3
A-94d3da,HealthTech,Basic,False,779,12,48,3,3,3
A-6f8ad2,EdTech,Basic,False,779,0,88,5,5,3
A-378b99,EdTech,Pro,False,784,0,58,5,4,3
A-f97b9a,FinTech,Pro,False,784,2,56,5,4,3
A-68f37c,HealthTech,Basic,False,796,15,65,2,5,3
A-098560,DevTools,Enterprise,True,796,9,55,3,3,3
A-32728c,DevTools,Pro,True,798,17,41,2,2,3
A-075038,HealthTech,Basic,False,798,10,70,3,5,3
A-712f1c,DevTools,Basic,True,833,2,68,5,5,3
A-2edab2,HealthTech,Enterprise,False,833,9,47,3,3,3
A-e888d1,Cybersecurity,Pro,False,833,12,52,3,3,3
A-6e7827,DevTools,Basic,False,833,10,41,3,2,3
A-d27f50,Cybersecurity,Enterprise,False,836,12,50,3,3,3
A-2e4581,EdTech,Basic,False,836,21,55,2,4,3
A-7f6b86,HealthTech,Basic,True,855,5,41,4,2,3
A-bcbe98,Cybersecurity,Enterprise,False,874,17,65,2,5,3
A-328bd0,HealthTech,Enterprise,False,882,7,61,4,4,3
A-712533,EdTech,Pro,False,882,19,55,2,4,3
A-d4ac0e,DevTools,Basic,False,882,5,80,4,5,3
A-5a3eb9,DevTools,Enterprise,False,882,20,69,2,5,3
A-592832,Cybersecurity,Basic,True,882,1,101,5,5,3
A-43a9e3,FinTech,Basic,True,882,2,35,5,2,3
A-b2225d,FinTech,Basic,True,893,23,73,2,5,3
A-0532a9,FinTech,Pro,False,931,6,54,4,3,3
A-c7ffc2,Cybersecurity,Pro,False,931,1,62,5,4,3
A-00cac8,HealthTech,Enterprise,False,931,7,58,4,4,3
A-970c97,HealthTech,Enterprise,False,931,1,44,5,2,3
A-5c9849,EdTech,Basic,False,931,13,46,3,3,3
A-1e1b80,FinTech,Enterprise,False,950,13,68,3,5,3
A-d49cc5,Cybersecurity,Basic,False,950,3,41,4,2,3
A-bd4513,DevTools,Enterprise,False,950,2,51,5,3,3
A-700ade,Cybersecurity,Enterprise,False,950,80,29,1,1,3
A-854864,FinTech,Enterprise,False,980,16,24,2,1,3
A-2922b6,HealthTech,Basic,False,980,13,37,3,2,3
A-533452,DevTools,Pro,False,988,16,63,2,4,3
A-81edc3,Cybersecurity,Basic,False,995,2,74,5,5,3
A-34d880,Cybersecurity,Enterprise,False,995,18,47,2,3,3
A-adc1f3,Cybersecurity,Pro,False,995,9,36,3,2,3
A-b2af2e,Cybersecurity,Enterprise,False,1026,50,18,1,1,3
A-e83938,DevTools,Pro,True,1026,16,31,2,1,3
A-c608c8,DevTools,Pro,True,1029,0,43,5,2,3
A-5b051a,Cybersecurity,Enterprise,False,1078,24,16,2,1,3
A-5f7781,DevTools,Pro,False,1078,6,18,4,1,3
A-02fac6,FinTech,Pro,False,1078,4,53,4,3,3
A-af0cd2,Cybersecurity,Enterprise,False,1083,12,70,3,5,3
A-f25509,EdTech,Enterprise,False,1083,3,23,5,1,3
A-d40bf7,FinTech,Basic,False,1121,40,55,1,4,3
A-88c6ca,FinTech,Basic,True,1127,4,43,4,2,3
A-7c6b6b,FinTech,Basic,False,1127,24,35,2,1,3
A-9affe6,Cybersecurity,Pro,False,1127,0,47,5,3,3
A-6843f2,HealthTech,Enterprise,False,1127,35,46,1,3,3
A-2e3bad,FinTech,Pro,False,1159,49,45,1,2,3
A-7c83a1,Cybersecurity,Pro,False,1176,0,62,5,4,3
A-b7b7b7,FinTech,Basic,True,1176,19,55,2,4,3
A-1f0ac7,HealthTech,Basic,False,1176,20,41,2,2,3
A-cc1d8d,FinTech,Pro,False,1194,16,63,2,4,3
A-d62e02,Cybersecurity,Pro,False,1194,9,34,3,1,3
A-92a3af,Cybersecurity,Enterprise,False,1225,13,67,3,5,3
A-bb1eaa,Cybersecurity,Basic,False,1225,45,17,1,1,3
A-cb6cc6,DevTools,Basic,False,1225,10,35,3,2,3
A-9289f6,EdTech,Enterprise,False,1225,32,68,1,5,3
A-e08cd3,FinTech,Pro,False,1273,1,43,5,2,3
A-b11cd0,DevTools,Pro,True,1274,10,29,3,1,3
A-439b2f,DevTools,Enterprise,True,1274,2,20,5,1,3
A-e19ff6,Cybersecurity,Enterprise,False,1274,15,45,2,2,3
A-6a7c9d,Cybersecurity,Enterprise,True,1274,13,19,3,1,3
A-67be94,EdTech,Enterprise,False,1274,13,42,3,2,3
A-7cfe77,DevTools,Pro,False,1311,0,19,5,1,3
A-fa3095,FinTech,Basic,False,1330,16,59,2,4,3
A-751c58,FinTech,Basic,False,1349,2,53,5,3,3
A-9f9299,FinTech,Enterprise,False,1372,5,85,4,5,3
A-bb2f49,Cybersecurity,Pro,False,1372,1,60,5,4,3
A-702032,HealthTech,Pro,False,1372,29,26,1,1,3
A-4ef964,HealthTech,Pro,False,1372,8,49,3,3,3
A-5247b3,FinTech,Pro,False,1406,25,60,1,4,3
A-53f4e3,Cybersecurity,Enterprise,False,1421,11,44,3,2,3
A-ce66f8,EdTech,Pro,False,1421,0,46,5,3,3
A-462d45,Cybersecurity,Enterprise,False,1470,15,69,2,5,3
A-5b4ebb,Cybersecurity,Basic,True,1470,6,70,4,5,3
A-52dd88,Cybersecurity,Pro,False,1470,39,50,1,3,3
A-3a7284,FinTech,Enterprise,False,1519,9,60,3,4,3
A-e3bd71,Cybersecurity,Basic,False,1519,11,61,3,4,3
A-432483,Cybersecurity,Pro,False,1519,19,45,2,2,3
A-22d9d2,DevTools,Pro,False,1568,11,75,3,5,3
A-c222ab,Cybersecurity,Pro,True,1568,2,45,5,2,3
A-e5d6ab,EdTech,Pro,False,1568,29,41,1,2,3
A-902ef7,HealthTech,Enterprise,True,1577,71,40,1,2,4
A-cea1f0,FinTech,Pro,True,1592,8,56,4,4,4
A-b78bf8,DevTools,Pro,False,1617,25,42,1,2,4
A-cb5333,DevTools,Pro,False,1617,10,82,3,5,4
A-58b9ff,DevTools,Enterprise,False,1617,12,65,3,5,4
A-417d2f,Cybersecurity,Pro,False,1617,20,71,2,5,4
A-30b4ca,EdTech,Basic,True,1634,9,42,3,2,4
A-396e5f,Cybersecurity,Enterprise,False,1666,6,55,4,3,4
A-10b8da,DevTools,Enterprise,True,1666,8,27,4,1,4
A-65a46c,HealthTech,Pro,False,1715,5,38,4,2,4
A-cab532,DevTools,Pro,False,1715,1,101,5,5,4
A-2bc93d,HealthTech,Basic,False,1715,24,67,2,5,4
A-4c38bc,HealthTech,Basic,True,1764,2,81,5,5,4
A-600734,DevTools,Pro,True,1764,5,69,4,5,4
A-3cc791,EdTech,Enterprise,False,1764,36,46,1,3,4
A-425e76,DevTools,Enterprise,True,1791,10,48,3,3,4
A-e36807,EdTech,Pro,False,1791,2,49,5,3,4
A-625d0b,EdTech,Basic,False,1791,22,54,2,3,4
A-fe79a5,HealthTech,Basic,False,1791,23,33,2,1,4
A-d922bf,HealthTech,Basic,True,1791,10,41,3,2,4
A-f1f639,EdTech,Basic,False,1791,11,14,3,1,4
A-bad8c1,FinTech,Basic,False,1813,7,37,4,2,4
A-bece89,Cybersecurity,Pro,False,1862,3,19,4,1,4
A-779e4e,HealthTech,Basic,False,1862,11,44,3,2,4
A-ad296b,DevTools,Pro,False,1862,17,31,2,1,4
A-756192,FinTech,Basic,False,1862,2,64,5,4,4
A-65c341,FinTech,Pro,False,1911,6,38,4,2,4
A-e1b9cd,DevTools,Pro,True,1960,19,80,2,5,4
A-e51ec7,FinTech,Enterprise,False,1990,26,40,1,2,4
A-cd458b,DevTools,Basic,False,1990,0,84,5,5,4
A-2ebb4b,HealthTech,Basic,False,2009,16,50,2,3,4
A-1b7577,Cybersecurity,Pro,False,2009,11,62,3,4,4
A-ed510f,Cybersecurity,Basic,False,2058,14,49,3,3,4
A-fdfc91,Cybersecurity,Basic,False,2109,42,56,1,4,4
A-ad3abd,FinTech,Pro,False,2156,40,29,1,1,4
A-cdf020,DevTools,Pro,False,2156,36,40,1,2,4
A-02cd81,HealthTech,Basic,False,2156,5,72,4,5,4
A-9a532a,HealthTech,Enterprise,False,2189,71,18,1,1,4
A-9c18c4,HealthTech,Pro,True,2189,18,56,2,4,4
A-117171,HealthTech,Basic,True,2205,20,21,2,1,4
A-0158bb,FinTech,Basic,False,2205,3,36,5,2,4
A-313be3,EdTech,Enterprise,False,2303,12,57,3,4,4
A-0dbdc6,Cybersecurity,Pro,True,2303,0,52,5,3,4
A-bcf664,DevTools,Pro,False,2303,7,56,4,4,4
A-faa28c,HealthTech,Enterprise,False,2352,3,59,5,4,4
A-10b8f2,HealthTech,Basic,False,2352,5,56,4,4,4
A-df10db,DevTools,Enterprise,False,2388,7,64,4,4,4
A-8bde0c,DevTools,Basic,False,2388,25,80,1,5,4
A-87aa7b,HealthTech,Pro,False,2499,5,72,4,5,4
A-151c9a,FinTech,Enterprise,False,2548,2,34,5,1,4
A-016043,EdTech,Basic,False,2587,0,47,5,3,4
A-94f8c9,HealthTech,Basic,False,2587,28,77,1,5,4
A-8b25f2,Cybersecurity,Pro,True,2587,4,54,4,3,4
A-798a3f,DevTools,Enterprise,True,2587,30,37,1,2,4
A-4a4c2d,DevTools,Enterprise,False,2646,3,59,4,4,4
A-50bb9f,Cybersecurity,Pro,False,2646,8,24,4,1,4
A-812c5b,DevTools,Basic,True,2695,3,88,5,5,4
A-98a59a,FinTech,Enterprise,False,2744,0,44,5,2,4
A-a865bd,Cybersecurity,Pro,False,2744,13,24,3,1,4
A-3d957b,HealthTech,Pro,False,2786,72,15,1,1,4
A-0baac2,FinTech,Enterprise,True,2786,61,21,1,1,4
A-31ab9a,FinTech,Pro,False,2786,30,34,1,1,4
A-08e34e,EdTech,Basic,True,2786,1,63,5,4,4
A-fd9422,Cybersecurity,Pro,False,2842,1,44,5,2,4
A-e98302,EdTech,Enterprise,False,2842,19,30,2,1,4
A-05f0e5,FinTech,Basic,False,2842,1,67,5,5,4
A-9bfc9f,DevTools,Pro,False,2940,23,37,2,2,4
A-7da956,Cybersecurity,Pro,False,2985,9,51,3,3,4
A-b9f5b1,Cybersecurity,Pro,False,2985,32,30,1,1,4
A-90a8c8,FinTech,Pro,False,2985,4,41,4,2,4
A-d5a319,FinTech,Enterprise,True,2985,11,59,3,4,4
A-72799b,DevTools,Enterprise,True,2989,4,56,4,4,4
A-180abf,DevTools,Pro,True,3136,14,48,3,3,4
A-40a557,Cybersecurity,Pro,False,3184,5,39,4,2,4
A-45ce7a,FinTech,Enterprise,False,3184,7,39,4,2,4
A-34ea2f,HealthTech,Enterprise,True,3184,4,57,4,4,4
A-7a0d69,DevTools,Enterprise,True,3184,8,61,4,4,4
A-e2cd1b,DevTools,Enterprise,False,3184,6,49,4,3,4
A-d3c88e,DevTools,Pro,False,3184,10,64,3,4,4
A-09540c,Cybersecurity,Basic,False,3283,29,28,1,1,4
A-bb1486,HealthTech,Basic,False,3283,22,42,2,2,4
A-8adedc,EdTech,Basic,True,3332,0,61,5,4,4
A-2d1036,FinTech,Pro,True,3381,1,69,5,5,4
A-76fa4d,HealthTech,Pro,False,3381,28,36,1,2,4
A-bcf87c,FinTech,Pro,True,3383,17,54,2,3,4
A-4e44e8,DevTools,Enterprise,True,3383,37,69,1,5,4
A-a2485e,FinTech,Pro,False,3383,34,28,1,1,4
A-51ec1b,DevTools,Enterprise,False,3383,70,28,1,1,4
A-7d514c,HealthTech,Enterprise,False,3383,20,48,2,3,4
A-db5e9e,DevTools,Basic,False,3383,0,57,5,4,4
A-5b1bcd,DevTools,Pro,False,3577,0,86,5,5,4
A-9123ac,Cybersecurity,Pro,False,3582,12,37,3,2,4
A-c4ea60,FinTech,Enterprise,True,3582,20,43,2,2,4
A-89ee83,Cybersecurity,Pro,True,3582,14,59,3,4,4
A-484819,HealthTech,Pro,False,3582,10,33,3,1,4
A-0aaf6e,FinTech,Enterprise,False,3582,8,57,3,4,4
A-1e50e0,Cybersecurity,Pro,True,3781,21,20,2,1,4
A-05d3b3,DevTools,Basic,False,3781,13,64,3,5,4
A-6f50ae,FinTech,Pro,True,3781,9,83,3,5,4
A-ff79f2,DevTools,Basic,True,3781,39,41,1,2,4
A-b48f73,EdTech,Pro,False,3920,36,44,1,2,5
A-1986ca,HealthTech,Pro,False,3980,38,37,1,2,5
A-49b828,FinTech,Pro,False,3980,10,65,3,5,5
A-19b2c8,DevTools,Pro,False,3980,1,63,5,4,5
A-b20d99,HealthTech,Basic,False,3980,99,33,1,1,5
A-ac85cd,EdTech,Enterprise,False,4165,34,63,1,4,5
A-ac9111,HealthTech,Pro,False,4179,4,83,4,5,5
A-3b5cd1,FinTech,Basic,False,4179,10,52,3,3,5
A-55f257,FinTech,Basic,False,4179,0,53,5,3,5
A-5a215a,EdTech,Enterprise,False,4263,7,80,4,5,5
A-4814a3,Cybersecurity,Basic,True,4263,8,60,4,4,5
A-d42431,FinTech,Enterprise,False,4378,25,47,1,3,5
A-80eeb6,Cybersecurity,Enterprise,False,4378,8,76,4,5,5
A-e4bf56,HealthTech,Pro,True,4378,8,33,3,1,5
A-832ec2,FinTech,Enterprise,False,4378,8,49,4,3,5
A-40906c,EdTech,Basic,False,4508,28,63,1,4,5
A-3b37d9,FinTech,Enterprise,False,4577,17,43,2,2,5
A-c16b88,HealthTech,Enterprise,False,4577,42,48,1,3,5
A-034368,EdTech,Enterprise,False,4577,18,28,2,1,5
A-474ad4,EdTech,Basic,False,4776,20,64,2,5,5
A-410e86,FinTech,Basic,False,4776,4,30,4,1,5
A-7f4db3,FinTech,Pro,False,4776,11,90,3,5,5
A-039727,EdTech,Pro,False,4975,9,74,3,5,5
A-8e47ca,HealthTech,Pro,False,4975,27,46,1,3,5
A-96e141,DevTools,Basic,False,4975,14,36,3,2,5
A-c45b23,FinTech,Basic,False,5174,8,59,3,4,5
A-32fb14,DevTools,Enterprise,True,5174,6,47,4,3,5
A-a0ca4e,Cybersecurity,Pro,False,5174,14,39,3,2,5
A-2446e3,EdTech,Pro,False,5373,7,48,4,3,5
A-ba6516,FinTech,Pro,False,5373,12,60,3,4,5
A-297a2d,HealthTech,Pro,False,5373,47,25,1,1,5
A-ad64c6,DevTools,Pro,False,5572,50,20,1,1,5
A-692f18,EdTech,Basic,True,5572,8,87,4,5,5
A-00bed1,Cybersecurity,Basic,False,5572,17,51,2,3,5
